StartDate,EndDate,RecordedDate,Q3,Q4,,
Start Date,End Date,Recorded Date,What is your school district?,What is one aspect of the you have implemented for use in your remote teaching. Explain how training in this aspect helped you with your remote teaching.,,
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}",,
4/27/20,4/27/20,4:02:06 PM,Palm Beach County School District,Using GoogleMeets and sharing my screen and/or viewing their screen to assist. ,,
4/27/20,4/27/20,4:02:20 PM,Sarasota,More video of myself with instructions.  Allows me to see some of my shortcomings that I probably do during my normal lessons (I must be part Italian because I talk with my hands ALOT).,,
4/27/20,4/27/20,4:03:34 PM,Sarasota,I have been using MS Team to interact and recording lessons for my students during the remote teaching. ,,
4/27/20,4/27/20,4:06:42 PM,Palm Beach ,"Everything. I am so much more conscious of how I am relating information.  The way I pose questions, create models and carry out my standards. ",,
4/27/20,4/27/20,4:09:23 PM,Hillsborough,I am using a variety of resources and techniques. Engagement is very high with all my classes. ,,
4/27/20,4/27/20,4:10:37 PM,St. Johnâ€™s County,"Schoology Conferences, to communicate with students ",,
4/27/20,4/27/20,4:12:53 PM,St. Johns County,Been learning on the fly.,,
4/27/20,4/27/20,4:14:35 PM,Palm beach ,Models,,
4/27/20,4/27/20,4:15:27 PM,Sarasota,Google voice,,
4/27/20,4/27/20,4:15:48 PM,Palm Beach,I am using some modeling to make concepts clearer to the students,,
4/28/20,4/28/20,4:03:19 PM,Palm Beach ,,,
4/28/20,4/28/20,4:03:22 PM,Hillsborough ,Zoom small group lessons.,,
4/28/20,4/28/20,4:03:25 PM,Sarasota,"Zoom, ",,
4/28/20,4/28/20,4:03:29 PM,Manatee,Use of collaborative work with my teammates.  Also use of technology.  ,,
4/28/20,4/28/20,4:03:32 PM,Manatee,I have tried to use modeling within my conference with students in Zoom. ,,
4/28/20,4/28/20,4:03:43 PM,HILLSBOROUGH,Technology,,
4/28/20,4/28/20,4:03:45 PM,Manatee ,Process maps,,
4/28/20,4/28/20,4:04:07 PM,Sarasota,The use of graphic organizers and map skills to help build on systems mapping. ,,
4/28/20,4/28/20,4:04:17 PM,Hillsborough,E-learning,,
4/28/20,4/28/20,4:04:25 PM,Carden,Have not had training in anything yet.,,
4/28/20,4/28/20,4:05:02 PM,Manatee,Thinking outside of the box while trying to integrate technology with virtual teaching. It has also given me the time to play around with the pasco probes and add the use of the probes in some upcoming labs. ,,
4/28/20,4/28/20,4:05:05 PM,Palm beach ,Planning technology assignments and using resources like scratch and flipgrid has been so helpful! Also using shared spreadsheets and documents since my students already understand how to use them. ,,
4/28/20,4/28/20,4:05:37 PM,Palm Beach County,Google classroom - google meet. My trainer Krista Dulany  has been instrumental in helping me set both up.,,
4/28/20,4/28/20,4:06:20 PM,Hillsborough County,"I have been using many digital platforms to assess and touch base with students.  They have been able to do projects, take tests, chat with each other, and leave video messages.",,
4/28/20,4/28/20,4:07:18 PM,Hillsborough ,I have been able to use some of the information that the coaches have given me in my virtual classroom.  It has helped me work with my students and has also allowed me to share information with other teachers at my school.,,
4/28/20,4/28/20,4:07:53 PM,Sarasota,I have used many of the resources presented in the teams site. ,,
4/28/20,4/28/20,4:20:32 PM,Palm Beach,My students are going to be using the coding program on Brainpop to create a comic strip that summarizes the novel we read. ,,
4/27/20,4/27/20,8:00:32 AM,Palm Beach,Questioning,,
4/27/20,4/27/20,8:01:11 AM,Okeechobee ,N/a,,
4/27/20,4/27/20,8:01:20 AM,Hillsborough,,,
4/27/20,4/27/20,8:01:30 AM,hillsborough county,Zoom has helped me see my kids and do lessons virtually with them. ,,
4/27/20,4/27/20,8:02:46 AM,Manatee,"Using Zoom, Microsoft Teams.",,
4/27/20,4/27/20,8:05:11 AM,Palm Beach County,Still struggling with virtual. But it has allowed me to explore other platforms. ,,
4/27/20,4/27/20,8:05:37 AM,Manatee ,Zoom letâ€™s me be able to keep an active relationship with my students. ,,
4/27/20,4/27/20,8:07:15 AM,Grassy waters,Inquiry,,
4/27/20,4/27/20,8:10:58 AM,Palm Beach County,"Iâ€™ve been creating more content and implementing more technology, just not sensors and probes.",,
4/28/20,4/28/20,4:22:30 PM,Palm Beach,I have set up a google classroom and posted a few assignments for my students.  I am able to use a variety methods to communicate with my students and their parents.  I have been able to run live sessions with my students as well as conducting online CST meetings. ,,
4/28/20,4/28/20,6:16:47 PM,Hillsborough,"I don't understand the question, as it is written...


If it is asking one aspect of inquiry I have implemented during remote teaching, my response is the thinking piece (where students wonders and share ideas). Training in this area has helped with making new lessons/topics more comfortable to teach because I am letting go and having students do the thinking and now we are incorporating technology in the process.",,
4/30/20,4/30/20,8:01:05 AM,Sarasota,Seleka helped me get started with flipgrid.com and I started that this week.  The support with the technology for remote learning has been great! ,,
4/30/20,4/30/20,8:01:22 AM,Palm Beach,I used coding through Brainpop for several activities.  It is very similar to Scratch coding. ,,
4/30/20,4/30/20,8:02:02 AM,St. Johns,modeling and identifying the essential standards.  We are working on reviewing standards that are essential for 7th grade vs us typically reviewing highly tested standards,,
4/30/20,4/30/20,8:01:30 AM,DeSoto,This training prepared me to be ready to switch easily ,,
4/30/20,4/30/20,8:23:28 AM,DeSoto ,We are continuing to use probs and sensors virtually. Incorporating STEAM activities to do with their families. ,,
4/29/20,4/29/20,4:05:44 PM,Glades,I have been using google slides and powerpoint to make graphic organizers and cause and effect connections.,,
4/29/20,4/29/20,4:07:36 PM,Glades,"I have been using google slides and powerpoint as a graphic organizer, and to put together cause and effect solutions.",,
4/29/20,4/29/20,3:53:34 PM,Hillsborough,"I've been using systems mapping to continue to create balanced, deep lessons for my students.  I've also been continuing on with IBL with the help of my coach and this is actually translating well to remote learning.",,
4/30/20,4/30/20,8:01:37 AM,Hillsborough,Zoom and edsby has been a great training and has been able to help me navigate better!!!,,
4/30/20,4/30/20,8:06:57 AM,Hillsborough,Used a lot of scratch coding with my kids ,,
4/29/20,4/29/20,4:06:56 PM,Hillsborough ,Model mapping online,,
4/30/20,4/30/20,8:00:16 AM,Hillsborough county,Technology ,,
4/29/20,4/29/20,4:02:01 PM,Okeechobee,Spreadsheet so keep track of all the students and their assignments and contact with parents.,,
4/29/20,4/29/20,4:31:54 PM,Okeechobee,Asking  broad open ended questions at the beginning of Zoom calls  and then continuing with questioning to draw information from individual students.  ,,
4/29/20,4/29/20,4:02:07 PM,Palm Beach,I have changed some of my questioning to be more eliciting in order to find misconceptions when I cannot get feedback from students as easily as I can in the classroom. ,,
4/29/20,4/29/20,4:04:36 PM,Palm Beach,Virtual labs,,
4/29/20,4/29/20,4:05:10 PM,Palm Beach,Using Google meets and Google Classroom. Krista and Leigh have been wonderful and showed me things I did not know.,,
4/29/20,4/29/20,4:09:13 PM,Palm Beach,I have created a flow chart for students to navigate distance learning.,,
4/30/20,4/30/20,8:01:43 AM,Palm Beach,"Padlets
1. The Language of the Universe. students post picture of shapes (Volume)
2. PSMS Spirit week. Each day was a new topic
3. Show Your Work! Student can post problems and ask questions.",,
4/30/20,4/30/20,8:04:36 AM,Palm Beach,Inquiry ,,
4/30/20,4/30/20,8:05:12 AM,Palm Beach,utilizing virtual labs with virtual probes,,
4/30/20,4/30/20,10:01:53 AM,Palm beach,Asking good questions,,
4/29/20,4/29/20,3:53:45 PM,Palm Beach , Google Meet,,
4/29/20,4/29/20,4:08:06 PM,Palm Beach ,New technology! I have been using flip grid and screencastify! Screencastify has been great to show and go over new norm processes.,,
4/30/20,4/30/20,8:00:51 AM,Palm beach ,I have used google classroom and forms to help with the remote learning,,
4/29/20,4/29/20,4:08:20 PM,Palm Beach County ,"I have used a checklist similar to a process map with my students. They get a weekly Google Doc checklist that I update throughout the week. The students are able to utilize the checklist for assignments, due dates and method of delivery. ",,
4/29/20,4/29/20,4:03:08 PM,Sarasota,Zoom/ helpful in helping students find online classes and resources,,
4/30/20,4/30/20,8:10:53 AM,sarasota,"Using Teams for assignments, tests and interaction with the students. It has allowed me to be more in touch with my students during this whole situation ",,
4/29/20,4/29/20,4:08:18 PM,St Johns,"We have utilized One Note more - using Drag and Drops with PowerPoints. 
We have also used Schoology and embedded PowerPoints, Videos and Questions in assessments. ",,
4/29/20,4/29/20,4:00:58 PM,St John's County,I have used the TEAMS training when meeting with faculty.  I have implemented eliciting strategies in a few of my assignments.,,
4/29/20,4/29/20,4:04:15 PM,St. Johns,I am more comfortable using technology like TEAMS and that has helped with remote teaching.,,
4/29/20,4/29/20,3:51:40 PM,St. Johns County,We have implemented power point and schoology,,
